"dan.sleep","baby.sleep","dan.grump","day"
7.59,10.18,56,1
7.91,11.66,60,2
5.14,7.92,82,3
7.71,9.61,55,4
6.68,9.75,67,5
5.99,5.04,72,6
8.19,10.45,53,7
7.19,8.27,60,8
7.4,6.06,60,9
6.58,7.09,71,10
6.49,11.68,72,11
6.27,6.13,65,12
5.95,7.83,74,13
6.65,5.6,67,14
6.41,6.03,66,15
6.33,8.19,69,16
6.3,6.38,73,17
8.47,11.11,52,18
7.21,5.51,61,19
7.53,6.69,53,20
8,9.74,54,21
7.35,9.02,63,22
6.86,6.44,74,23
7.86,9.43,56,24
4.86,3.46,82,25
5.87,6.32,72,26
8.4,7.95,59,27
6.93,7.69,66,28
7.21,7.45,60,29
6.99,7.56,67,30
8.17,7.95,44,31
7.85,11.61,53,32
6.27,4.7,76,33
8.66,8.52,41,34
4.98,4.7,86,35
6.19,8.32,60,36
6.41,9.38,63,37
4.84,4.18,89,38
7.03,5.98,61,39
7.66,9.29,57,40
7.51,6.01,59,41
7.92,10.54,60,42
8.12,11.78,48,43
7.47,11.6,53,44
7.99,11.35,50,45
5.44,5.63,72,46
8.16,6.98,57,47
7.62,6.03,60,48
5.87,4.66,70,49
9,9.81,46,50
8.31,12.07,58,51
6.71,7.57,68,52
7.43,11.35,58,53
5.9,5.47,71,54
8.52,8.29,52,55
6.03,6.8,74,56
7.29,10.63,59,57
7.32,8.59,59,58
6.88,7.82,67,59
6.22,7.18,67,60
6.94,8.29,61,61
7.01,11.08,64,62
7.2,6.46,61,63
6.3,3.25,61,64
8.72,9.74,54,65
7.82,8.75,62,66
8.14,11.75,52,67
7.27,9.31,64,68
6.7,7.73,65,69
7.55,8.68,65,70
7.38,9.77,57,71
7.73,9.71,59,72
5.32,4.17,79,73
7.86,10.18,53,74
6.35,9.28,67,75
7.11,7.23,61,76
5.45,6.38,82,77
7.8,9.2,68,78
7.13,8.2,67,79
8.35,10.16,54,80
6.93,8.95,53,81
7.07,6.8,62,82
8.66,8.34,50,83
5.09,6.25,80,84
4.91,6.75,91,85
7.03,9.09,62,86
7.02,10.42,64,87
7.67,8.89,57,88
8.15,9.43,54,89
5.88,6.79,72,90
5.72,6.91,78,91
6.66,6.05,63,92
6.85,6.32,59,93
5.57,8.62,74,94
5.16,7.84,76,95
5.31,5.89,79,96
7.77,9.77,51,97
5.38,6.97,82,98
7.02,6.56,55,99
6.45,7.93,74,100
